時間,ICE-Newcastle煤 (L),時間,ICE-Rotterdam煤 (L),時間,中國-動力煤期貨 (R),時間,中國-焦煤期貨 (R)
2020-03-02,66.3500,2020-03-03,46.9500,2020-06-16,538.0000,2020-06-10,1185.5000
2020-03-03,66.2000,2020-03-04,47.3000,2020-06-17,541.2000,2020-06-11,1185.5000
2020-03-04,65.7500,2020-03-05,47.8000,2020-06-18,544.6000,2020-06-12,1187.5000
2020-03-05,66.4000,2020-03-06,47.4000,2020-06-19,546.0000,2020-06-15,1162.5000
2020-03-06,65.9000,2020-03-09,46.4000,2020-06-22,545.8000,2020-06-16,1185.5000
2020-03-09,65.1500,2020-03-10,46.4000,2020-06-23,542.0000,2020-06-17,1171.5000
2020-03-10,65.3000,2020-03-11,46.5000,2020-06-24,542.4000,2020-06-18,1190.5000
2020-03-11,65.6500,2020-03-12,45.8000,2020-06-29,543.0000,2020-06-19,1190.5000
2020-03-12,65.4000,2020-03-13,46.5500,2020-06-30,553.2000,2020-06-22,1176.5000
2020-03-13,65.8000,2020-03-16,46.5000,2020-07-01,560.8000,2020-06-23,1190.0000
2020-03-16,65.5500,2020-03-17,47.1000,2020-07-02,561.2000,2020-06-24,1190.0000
2020-03-17,66.0500,2020-03-18,47.8000,2020-07-03,564.2000,2020-06-29,1172.5000
2020-03-18,66.1000,2020-03-19,46.9000,2020-07-06,557.8000,2020-06-30,1180.5000
2020-03-19,66.1500,2020-03-20,47.5000,2020-07-07,559.8000,2020-07-01,1173.0000
2020-03-20,66.3000,2020-03-23,47.4000,2020-07-08,559.0000,2020-07-02,1193.0000
2020-03-23,66.0500,2020-03-24,47.6500,2020-07-09,556.6000,2020-07-03,1192.0000
2020-03-24,66.5000,2020-03-25,48.2500,2020-07-10,557.0000,2020-07-06,1190.5000
2020-03-25,66.3500,2020-03-26,47.9500,2020-07-13,561.0000,2020-07-07,1186.5000
2020-03-26,66.5000,2020-03-27,48.1000,2020-07-14,562.6000,2020-07-08,1196.5000
2020-03-27,66.6500,2020-03-30,50.7500,2020-07-15,559.2000,2020-07-09,1218.0000
2020-03-30,69.0000,2020-03-31,49.3000,2020-07-16,558.8000,2020-07-10,1197.0000
2020-03-31,67.8500,2020-04-01,48.1000,2020-07-17,555.0000,2020-07-13,1209.0000
2020-04-01,66.7000,2020-04-02,47.4500,2020-07-20,550.4000,2020-07-14,1198.0000
2020-04-02,66.2000,2020-04-03,46.1000,2020-07-21,552.6000,2020-07-15,1195.5000
2020-04-03,66.0500,2020-04-06,46.3000,2020-07-22,546.6000,2020-07-16,1202.0000
2020-04-06,64.1500,2020-04-07,47.0500,2020-07-23,555.0000,2020-07-17,1210.5000
2020-04-07,63.8000,2020-04-08,46.6000,2020-07-24,557.8000,2020-07-20,1207.5000
2020-04-08,62.6500,2020-04-09,46.8000,2020-07-27,550.2000,2020-07-21,1233.5000
2020-04-09,63.6000,2020-04-13,46.7000,2020-07-28,556.8000,2020-07-22,1222.5000
2020-04-13,63.6000,2020-04-14,45.7500,2020-07-29,555.2000,2020-07-23,1229.0000
2020-04-14,62.7500,2020-04-15,45.3000,2020-07-30,553.8000,2020-07-24,1237.0000
2020-04-15,62.2500,2020-04-16,45.5000,2020-07-31,550.6000,2020-07-27,1224.0000
2020-04-16,61.9000,2020-04-17,45.4000,2020-08-03,554.8000,2020-07-28,1215.0000
2020-04-17,62.0000,2020-04-20,45.5500,2020-08-04,549.0000,2020-07-29,1221.0000
2020-04-20,61.5000,2020-04-21,45.4500,2020-08-05,551.6000,2020-07-30,1206.5000
2020-04-21,61.2500,2020-04-22,45.1500,2020-08-06,556.4000,2020-07-31,1219.5000
2020-04-22,61.1500,2020-04-23,44.9000,2020-08-07,549.8000,2020-08-03,1227.5000
2020-04-23,60.9500,2020-04-24,45.0500,2020-08-10,549.4000,2020-08-04,1207.5000
2020-04-24,61.1000,2020-04-27,39.1000,2020-08-11,559.0000,2020-08-05,1211.5000
2020-04-27,50.5000,2020-04-28,38.4500,2020-08-12,564.8000,2020-08-06,1219.5000
2020-04-28,51.2500,2020-04-29,39.0000,2020-08-13,572.8000,2020-08-07,1216.5000
2020-04-29,51.2500,2020-04-30,39.8500,2020-08-14,568.0000,2020-08-10,1210.5000
2020-04-30,52.3500,2020-05-01,39.5000,2020-08-17,569.0000,2020-08-11,1196.0000
2020-05-01,51.2500,2020-05-04,39.0000,2020-08-18,570.0000,2020-08-12,1197.5000
2020-05-04,50.6000,2020-05-05,39.6000,2020-08-19,562.6000,2020-08-13,1185.5000
2020-05-05,50.5000,2020-05-06,40.0000,2020-08-20,568.0000,2020-08-14,1194.0000
2020-05-06,51.2000,2020-05-07,40.2000,2020-08-21,563.8000,2020-08-17,1194.0000
2020-05-07,51.1500,2020-05-08,40.0000,2020-08-24,556.2000,2020-08-18,1204.5000
2020-05-08,51.1500,2020-05-11,39.9000,2020-08-25,556.0000,2020-08-19,1185.0000
2020-05-11,51.7000,2020-05-12,39.7000,2020-08-26,558.6000,2020-08-20,1214.5000
2020-05-12,52.0000,2020-05-13,39.3500,2020-08-27,568.6000,2020-08-21,1217.5000
2020-05-13,52.4000,2020-05-14,39.1000,2020-08-28,574.2000,2020-08-24,1218.0000
2020-05-14,51.7500,2020-05-15,38.7500,2020-08-31,574.6000,2020-08-25,1218.5000
2020-05-15,50.9500,2020-05-18,38.8500,2020-09-01,573.8000,2020-08-26,1218.0000
2020-05-18,51.4000,2020-05-19,38.8500,2020-09-02,577.0000,2020-08-27,1223.5000
2020-05-19,51.8000,2020-05-20,38.8000,2020-09-03,575.0000,2020-08-28,1231.0000
2020-05-20,52.0500,2020-05-21,38.7500,2020-09-04,577.4000,2020-08-31,1239.5000
2020-05-21,51.9000,2020-05-22,38.6500,2020-09-07,580.6000,2020-09-01,1263.5000
2020-05-22,51.9500,2020-05-25,38.7500,2020-09-08,585.2000,2020-09-02,1276.0000
2020-05-25,51.9500,2020-05-26,38.6000,2020-09-09,584.6000,2020-09-03,1283.5000
2020-05-26,52.4000,2020-05-27,38.7000,2020-09-10,593.0000,2020-09-04,1281.5000
2020-05-27,52.5000,2020-05-28,38.8000,2020-09-11,584.8000,2020-09-07,1286.0000
2020-05-28,52.2500,2020-05-29,38.5000,2020-09-14,590.0000,2020-09-08,1263.0000
2020-05-29,52.0000,2020-06-01,44.8500,2020-09-15,597.8000,2020-09-09,1258.5000
2020-06-01,55.6500,2020-06-02,46.7500,2020-09-16,601.0000,2020-09-10,1246.5000
2020-06-02,55.5500,2020-06-03,46.6000,2020-09-17,594.2000,2020-09-11,1257.0000
2020-06-03,55.8000,2020-06-04,45.7000,2020-09-18,597.2000,2020-09-14,1263.0000
2020-06-04,55.2000,2020-06-05,46.2000,2020-09-21,599.6000,2020-09-15,1255.5000
2020-06-05,55.6000,2020-06-08,45.9500,2020-09-22,596.8000,2020-09-16,1247.0000
2020-06-08,54.8500,2020-06-09,45.6000,2020-09-23,603.2000,2020-09-17,1260.0000
2020-06-09,53.7000,2020-06-10,44.9500,2020-09-24,605.8000,2020-09-18,1277.0000
2020-06-10,53.0500,2020-06-11,44.3500,2020-09-25,612.4000,2020-09-21,1269.5000
2020-06-11,52.9000,2020-06-12,44.5000,2020-09-28,621.8000,2020-09-22,1271.5000
2020-06-12,53.0000,2020-06-15,45.0000,2020-09-29,629.0000,2020-09-23,1271.5000
2020-06-15,53.4000,2020-06-16,44.8000,2020-09-30,614.4000,2020-09-24,1258.5000
2020-06-16,53.3500,2020-06-17,44.6000,2020-10-09,614.4000,2020-09-25,1244.0000
2020-06-17,53.3500,2020-06-18,44.7000,2020-10-12,626.4000,2020-09-28,1264.5000
2020-06-18,52.9500,2020-06-19,45.0000,2020-10-13,609.8000,2020-09-29,1276.5000
2020-06-19,53.1000,2020-06-22,45.6000,2020-10-14,607.4000,2020-09-30,1271.5000
2020-06-22,53.1000,2020-06-23,44.8500,2020-10-15,602.6000,2020-10-09,1321.0000
2020-06-23,53.0000,2020-06-24,45.2500,2020-10-16,593.0000,2020-10-12,1343.5000
2020-06-24,52.8500,2020-06-25,45.2500,2020-10-19,592.0000,2020-10-13,1350.0000
2020-06-25,53.2500,2020-06-26,45.4500,2020-10-20,590.0000,2020-10-14,1349.5000
2020-06-26,53.5000,2020-06-29,50.0500,2020-10-21,573.2000,2020-10-15,1342.5000
2020-06-29,52.7000,2020-06-30,49.8500,2020-10-22,573.8000,2020-10-16,1335.0000
2020-06-30,52.1500,2020-07-01,49.9500,2020-10-23,573.2000,2020-10-19,1327.5000
2020-07-01,51.6000,2020-07-02,51.0500,2020-10-26,577.6000,2020-10-20,1347.5000
2020-07-02,52.6000,2020-07-03,50.9000,2020-10-27,582.2000,2020-10-21,1349.0000
2020-07-03,52.4500,2020-07-06,51.2000,2020-10-28,582.6000,2020-10-22,1355.0000
2020-07-06,52.6500,2020-07-07,50.6500,2020-10-29,589.2000,2020-10-23,1346.5000
2020-07-07,53.0000,2020-07-08,49.5000,2020-10-30,595.2000,2020-10-26,1343.5000
2020-07-08,52.5500,2020-07-09,49.3000,2020-11-02,608.6000,2020-10-27,1348.0000
2020-07-09,52.4000,2020-07-10,48.7000,2020-11-03,600.8000,2020-10-28,1340.0000
2020-07-10,52.4000,2020-07-13,48.8000,2020-11-04,602.4000,2020-10-29,1357.5000
2020-07-13,52.2000,2020-07-14,48.6500,2020-11-05,605.2000,2020-10-30,1322.0000
2020-07-14,52.5000,2020-07-15,49.0000,2020-11-06,602.4000,2020-11-02,1338.5000
2020-07-15,52.6000,2020-07-16,49.0000,2020-11-09,592.8000,2020-11-03,1336.0000
2020-07-16,52.3500,2020-07-17,49.2500,2020-11-10,600.2000,2020-11-04,1310.5000
2020-07-17,52.2000,2020-07-20,49.0500,2020-11-11,607.0000,2020-11-05,1291.5000
2020-07-20,52.0000,2020-07-21,49.6000,2020-11-12,601.6000,2020-11-06,1304.0000
2020-07-21,52.0500,2020-07-22,49.7000,2020-11-13,613.4000,2020-11-09,1311.0000
2020-07-22,52.1000,2020-07-23,49.6000,2020-11-16,617.6000,2020-11-10,1308.0000
2020-07-23,51.9500,2020-07-24,49.5500,2020-11-17,623.0000,2020-11-11,1354.5000
2020-07-24,52.0000,2020-07-27,49.5000,2020-11-18,611.0000,2020-11-12,1369.0000
2020-07-27,52.2500,2020-07-28,49.7000,2020-11-19,607.6000,2020-11-13,1369.0000
2020-07-28,51.8000,2020-07-29,49.7000,2020-11-20,602.4000,2020-11-16,1332.0000
2020-07-29,51.8000,2020-07-30,49.8500,2020-11-23,605.8000,2020-11-17,1317.0000
2020-07-30,51.9000,2020-07-31,49.9000,2020-11-24,614.4000,2020-11-18,1321.5000
2020-07-31,51.9500,2020-08-03,51.7000,2020-11-25,625.8000,2020-11-19,1312.0000
2020-08-03,52.6000,2020-08-04,51.6000,2020-11-26,636.8000,2020-11-20,1321.0000
2020-08-04,52.4500,2020-08-05,51.3000,2020-11-27,649.2000,2020-11-23,1364.5000
2020-08-05,51.6000,2020-08-06,50.2000,2020-11-30,659.8000,2020-11-24,1405.5000
2020-08-06,50.2000,2020-08-07,50.8000,2020-12-01,675.2000,2020-11-25,1424.5000
2020-08-07,51.2000,2020-08-10,50.5500,2020-12-02,699.2000,2020-11-26,1426.0000
2020-08-10,50.5000,2020-08-11,50.3000,2020-12-03,682.6000,2020-11-27,1431.5000
2020-08-11,49.9000,2020-08-12,49.7000,2020-12-04,696.6000,2020-11-30,1424.0000
2020-08-12,49.5000,2020-08-13,49.5000,2020-12-07,693.6000,2020-12-01,1474.0000
2020-08-13,49.9000,2020-08-14,49.2500,2020-12-08,702.8000,2020-12-02,1535.0000
2020-08-14,50.4000,2020-08-17,49.4000,2020-12-09,727.8000,2020-12-03,1521.5000
2020-08-17,50.4500,2020-08-18,49.3500,2020-12-10,752.6000,2020-12-04,1520.0000
2020-08-18,50.4500,2020-08-19,49.1500,2020-12-11,744.6000,2020-12-07,1530.5000
2020-08-19,50.2500,2020-08-20,48.9000,2020-12-14,730.2000,2020-12-08,1524.0000
2020-08-20,50.1000,2020-08-21,48.6500,2020-12-15,668.6000,2020-12-09,1619.5000
2020-08-21,49.8000,2020-08-24,48.8000,2020-12-16,670.8000,2020-12-10,1601.5000
2020-08-24,49.7000,2020-08-25,48.9000,2020-12-17,689.8000,2020-12-11,1521.5000
2020-08-25,49.7500,2020-08-26,48.9500,2020-12-18,707.4000,2020-12-14,1505.5000
2020-08-26,49.7000,2020-08-27,48.9000,2020-12-21,710.8000,2020-12-15,1512.0000
2020-08-27,49.8000,2020-08-28,49.0000,2020-12-22,672.4000,2020-12-16,1511.5000
2020-08-28,49.7500,2020-08-31,52.9000,2020-12-23,678.8000,2020-12-17,1567.5000
2020-08-31,51.9500,2020-09-01,52.7000,2020-12-24,668.4000,2020-12-18,1613.0000
2020-09-01,51.4000,2020-09-02,51.5000,2020-12-25,688.4000,2020-12-21,1683.0000
2020-09-02,50.6000,2020-09-03,51.5000,2020-12-28,689.8000,2020-12-22,1615.5000
2020-09-03,49.7000,2020-09-04,51.4000,2020-12-29,667.0000,2020-12-23,1627.0000
2020-09-04,49.0000,2020-09-07,51.0000,2020-12-30,670.8000,2020-12-24,1626.0000
2020-09-07,48.5000,2020-09-08,51.2000,2020-12-31,674.0000,2020-12-25,1687.5000
2020-09-08,48.7500,2020-09-09,51.2000,2021-01-04,671.4000,2020-12-28,1712.5000
2020-09-09,48.8000,2020-09-10,51.7000,2021-01-05,689.2000,2020-12-29,1661.0000
2020-09-10,49.7500,2020-09-11,51.7000,2021-01-06,684.2000,2020-12-30,1640.5000
2020-09-11,50.7500,2020-09-14,51.7000,2021-01-07,707.4000,2020-12-31,1629.0000
2020-09-14,50.7500,2020-09-15,51.8000,2021-01-08,704.4000,2021-01-04,1688.0000
2020-09-15,51.0000,2020-09-16,51.9000,2021-01-11,716.4000,2021-01-05,1709.0000
2020-09-16,51.5000,2020-09-17,51.9000,2021-01-12,719.4000,2021-01-06,1698.0000
2020-09-17,51.9000,2020-09-18,52.0000,2021-01-13,706.4000,2021-01-07,1730.0000
2020-09-18,52.0500,2020-09-21,52.1000,2021-01-14,702.2000,2021-01-08,1772.0000
2020-09-21,52.4500,2020-09-22,52.1000,2021-01-15,727.2000,2021-01-11,1781.5000
2020-09-22,52.7000,2020-09-23,52.1500,2021-01-18,717.2000,2021-01-12,1734.5000
2020-09-23,52.7500,2020-09-24,52.2500,2021-01-19,681.6000,2021-01-13,1651.5000
2020-09-24,52.8000,2020-09-25,52.3500,2021-01-20,673.0000,2021-01-14,1666.0000
2020-09-25,52.8000,2020-09-28,57.2000,2021-01-21,667.4000,2021-01-15,1727.0000
2020-09-28,59.0000,2020-09-29,57.0500,2021-01-22,650.8000,2021-01-18,1707.0000
2020-09-29,58.6500,2020-09-30,57.2000,2021-01-25,651.2000,2021-01-19,1657.5000
2020-09-30,58.6000,2020-10-01,57.3500,2021-01-26,650.4000,2021-01-20,1630.0000
2020-10-01,58.6000,2020-10-02,56.4000,2021-01-27,656.4000,2021-01-21,1653.5000
2020-10-02,57.5500,2020-10-05,57.7000,2021-01-28,650.2000,2021-01-22,1623.5000
2020-10-05,58.1000,2020-10-06,57.7000,2021-01-29,632.2000,2021-01-25,1631.5000
2020-10-06,58.1000,2020-10-07,57.6500,2021-02-01,632.0000,2021-01-26,1581.5000
2020-10-07,58.0000,2020-10-08,57.7000,2021-02-02,611.8000,2021-01-27,1601.5000
2020-10-08,58.0000,2020-10-09,57.6000,2021-02-03,608.4000,2021-01-28,1565.5000
2020-10-09,57.4000,2020-10-12,56.8500,2021-02-04,613.2000,2021-01-29,1510.0000
2020-10-12,56.8500,2020-10-13,56.5000,2021-02-05,609.4000,2021-02-01,1501.0000
2020-10-13,54.7000,2020-10-14,56.6000,2021-02-08,610.2000,2021-02-02,1465.5000
2020-10-14,55.4000,2020-10-15,56.8000,2021-02-09,619.4000,2021-02-03,1452.5000
2020-10-15,55.7000,2020-10-16,57.0000,2021-02-10,630.4000,2021-02-04,1509.5000
2020-10-16,56.3000,2020-10-19,57.1000,2021-02-18,602.0000,2021-02-05,1513.0000
2020-10-19,57.3000,2020-10-20,57.1000,2021-02-19,603.8000,2021-02-08,1528.0000
2020-10-20,57.8000,2020-10-21,56.5000,2021-02-22,601.8000,2021-02-09,1553.5000
2020-10-21,57.7500,2020-10-22,56.7500,2021-02-23,605.0000,2021-02-10,1547.0000
2020-10-22,58.0000,2020-10-23,56.7000,2021-02-24,610.2000,2021-02-18,1608.5000
2020-10-23,58.0000,2020-10-26,56.7000,2021-02-25,619.6000,2021-02-19,1567.5000
2020-10-26,58.0000,2020-10-27,56.5500,2021-02-26,608.8000,2021-02-22,1505.0000
2020-10-27,58.1500,2020-10-28,56.5000,2021-03-01,631.4000,2021-02-23,1461.5000
2020-10-28,58.2000,2020-10-29,56.1000,2021-03-02,639.8000,2021-02-24,1483.0000
2020-10-29,58.2000,2020-10-30,56.0500,2021-03-03,645.6000,2021-02-25,1527.5000
2020-10-30,58.2000,2020-11-02,50.9000,2021-03-04,654.8000,2021-02-26,1474.0000
2020-11-02,59.9000,2020-11-03,51.0500,2021-03-05,630.8000,2021-03-01,1402.0000
2020-11-03,60.5500,2020-11-04,50.8500,2021-03-08,651.0000,2021-03-02,1490.0000
2020-11-04,60.6000,2020-11-05,51.4000,2021-03-09,648.0000,2021-03-03,1524.5000
2020-11-05,61.4500,2020-11-06,50.8000,2021-03-10,626.4000,2021-03-04,1503.0000
2020-11-06,61.6500,2020-11-09,51.0500,2021-03-11,640.8000,2021-03-05,1481.5000
2020-11-09,62.0500,2020-11-10,51.3500,2021-03-12,645.8000,2021-03-08,1509.5000
2020-11-10,62.3000,2020-11-11,51.4000,2021-03-15,633.4000,2021-03-09,1467.0000
2020-11-11,62.3000,2020-11-12,52.0500,2021-03-16,643.4000,2021-03-10,1516.5000
2020-11-12,62.3000,2020-11-13,52.7000,2021-03-17,676.2000,2021-03-11,1543.5000
2020-11-13,62.2500,2020-11-16,52.9500,2021-03-18,671.4000,2021-03-12,1505.0000
2020-11-16,62.3000,2020-11-17,52.7500,2021-03-19,671.8000,2021-03-15,1485.5000
2020-11-17,62.4000,2020-11-18,52.8500,2021-03-22,676.4000,2021-03-16,1537.5000
2020-11-18,62.4500,2020-11-19,52.7500,2021-03-23,680.8000,2021-03-17,1602.5000
2020-11-19,62.6500,2020-11-20,53.0000,2021-03-24,692.2000,2021-03-18,1587.5000
2020-11-20,63.3500,2020-11-23,52.9500,2021-03-25,695.8000,2021-03-19,1598.0000
2020-11-23,63.4000,2020-11-24,53.2000,2021-03-26,698.0000,2021-03-22,1547.5000
2020-11-24,63.5000,2020-11-25,53.5500,2021-03-29,731.8000,2021-03-23,1548.0000
2020-11-25,63.7500,2020-11-26,53.5500,2021-03-30,738.8000,2021-03-24,1539.5000
2020-11-26,63.8500,2020-11-27,53.6000,2021-03-31,730.0000,2021-03-25,1549.0000
2020-11-27,63.9000,2020-11-30,61.1500,2021-04-01,734.2000,2021-03-26,1560.0000
2020-11-30,70.3000,2020-12-01,61.2500,2021-04-02,740.4000,2021-03-29,1645.5000
2020-12-01,70.0500,2020-12-02,62.0000,2021-04-06,734.8000,2021-03-30,1648.0000
2020-12-02,71.4000,2020-12-03,61.8500,2021-04-07,689.8000,2021-03-31,1659.0000
2020-12-03,73.5500,2020-12-04,63.2000,2021-04-08,689.4000,2021-04-01,1591.0000
2020-12-04,74.2500,2020-12-07,62.9500,2021-04-09,676.8000,2021-04-02,1570.0000
2020-12-07,76.3000,2020-12-08,63.0500,2021-04-12,709.2000,2021-04-06,1594.0000
2020-12-08,75.9500,2020-12-09,63.3000,2021-04-13,728.0000,2021-04-07,1585.0000
2020-12-09,76.6000,2020-12-10,64.0000,2021-04-14,739.4000,2021-04-08,1556.5000
2020-12-10,77.5000,2020-12-11,65.1000,2021-04-15,754.4000,2021-04-09,1573.0000
2020-12-11,77.7000,2020-12-14,65.4000,2021-04-16,761.2000,2021-04-12,1599.0000
2020-12-14,78.7500,2020-12-15,65.8000,2021-04-19,788.0000,2021-04-13,1602.0000
2020-12-15,79.5000,2020-12-16,65.6000,2021-04-20,782.2000,2021-04-14,1603.0000
2020-12-16,79.2500,2020-12-17,65.6500,2021-04-21,722.0000,2021-04-15,1600.5000
2020-12-17,79.5000,2020-12-18,66.0000,2021-04-22,750.2000,2021-04-16,1684.0000
2020-12-18,80.0000,2020-12-21,66.1000,2021-04-23,745.4000,2021-04-19,1655.0000
2020-12-21,79.8500,2020-12-22,66.1000,2021-04-26,738.6000,2021-04-20,1643.5000
2020-12-22,80.0000,2020-12-23,66.0500,2021-04-27,740.0000,2021-04-21,1710.5000
2020-12-23,79.8500,2020-12-24,66.1000,2021-04-28,758.0000,2021-04-22,1752.0000
2020-12-24,79.8500,2020-12-28,71.6500,2021-04-29,785.6000,2021-04-23,1744.5000
2020-12-28,85.3500,2020-12-29,70.0000,2021-04-30,788.6000,2021-04-26,1789.0000
2020-12-29,84.2000,2020-12-30,69.4000,2021-05-06,849.8000,2021-04-27,1784.0000
2020-12-30,81.6000,2020-12-31,69.0000,2021-05-07,863.4000,2021-04-28,1757.0000
2020-12-31,80.5000,2021-01-04,69.3000,2021-05-10,892.0000,2021-04-29,1766.5000
2021-01-04,81.2000,2021-01-05,64.9000,2021-05-11,900.2000,2021-04-30,1773.0000
2021-01-05,80.3500,2021-01-06,64.2500,2021-05-12,943.8000,2021-05-06,1912.0000
2021-01-06,79.4500,2021-01-07,66.6000,2021-05-13,883.0000,2021-05-07,1939.5000
2021-01-07,81.0500,2021-01-08,68.5000,2021-05-14,847.8000,2021-05-10,2062.0000
2021-01-08,84.3000,2021-01-11,68.5000,2021-05-17,833.2000,2021-05-11,2027.5000
2021-01-11,84.5000,2021-01-12,70.5000,2021-05-18,841.8000,2021-05-12,2111.5000
2021-01-12,86.5000,2021-01-13,70.1500,2021-05-19,850.8000,2021-05-13,1988.0000
2021-01-13,87.3000,2021-01-14,69.9000,2021-05-20,779.4000,2021-05-14,1922.0000
2021-01-14,87.2500,2021-01-15,68.6000,2021-05-21,713.0000,2021-05-17,1967.0000
2021-01-15,87.4000,2021-01-18,67.2500,2021-05-24,726.6000,2021-05-18,1967.5000
2021-01-18,86.4000,2021-01-19,67.5000,2021-05-25,731.8000,2021-05-19,1927.0000
2021-01-19,85.0000,2021-01-20,67.5000,2021-05-26,726.0000,2021-05-20,1782.5000
2021-01-20,85.5000,2021-01-21,67.5500,2021-05-27,744.4000,2021-05-21,1701.0000
2021-01-21,85.5000,2021-01-22,67.5000,2021-05-28,751.0000,2021-05-24,1723.0000
2021-01-22,85.9000,2021-01-25,67.4500,2021-05-31,775.2000,2021-05-25,1758.0000
2021-01-25,85.9500,2021-01-26,67.6500,2021-06-01,804.4000,2021-05-26,1744.5000
2021-01-26,86.0000,2021-01-27,67.7000,2021-06-02,818.4000,2021-05-27,1787.5000
2021-01-27,86.2000,2021-01-28,67.8000,2021-06-03,835.4000,2021-05-28,1801.0000
2021-01-28,86.3000,2021-01-29,67.8000,2021-06-04,790.0000,2021-05-31,1767.0000
2021-01-29,86.2000,2021-02-01,65.6000,2021-06-07,800.2000,2021-06-01,1872.0000
2021-02-01,85.6500,2021-02-02,65.4000,2021-06-08,819.2000,2021-06-02,1859.0000
2021-02-02,85.0000,2021-02-03,63.7500,2021-06-09,818.2000,2021-06-03,1878.5000
2021-02-03,83.7500,2021-02-04,65.0000,2021-06-10,803.4000,2021-06-04,1850.0000
2021-02-04,84.4000,2021-02-05,66.4500,2021-06-11,827.2000,2021-06-07,1803.0000
2021-02-05,86.6500,2021-02-08,68.2500,2021-06-15,861.4000,2021-06-08,1852.5000
2021-02-08,87.5000,2021-02-09,68.6000,2021-06-16,849.6000,2021-06-09,1871.0000
2021-02-09,87.3000,2021-02-10,68.0000,2021-06-17,863.2000,2021-06-10,1865.0000
2021-02-10,87.6000,2021-02-11,67.3500,2021-06-18,835.0000,2021-06-11,1982.5000
2021-02-11,87.4000,2021-02-12,67.0000,2021-06-21,843.8000,2021-06-15,1955.5000
2021-02-12,87.4500,2021-02-15,65.3000,2021-06-22,850.6000,2021-06-16,1952.5000
2021-02-15,87.0500,2021-02-16,65.6000,2021-06-23,860.2000,2021-06-17,2009.5000
2021-02-16,86.5500,2021-02-17,65.3500,2021-06-24,856.8000,2021-06-18,1955.0000
2021-02-17,86.0000,2021-02-18,65.5500,2021-06-25,848.0000,2021-06-21,1937.5000
2021-02-18,85.7500,2021-02-19,65.9500,2021-06-28,790.2000,2021-06-22,1968.5000
2021-02-19,86.0000,2021-02-22,65.9500,2021-06-29,780.0000,2021-06-23,2037.0000
2021-02-22,85.7500,2021-02-23,65.9000,2021-06-30,793.0000,2021-06-24,2045.5000
2021-02-23,85.5000,2021-02-24,65.7000,2021-07-01,782.6000,2021-06-25,2045.0000
2021-02-24,85.5000,2021-02-25,65.8000,2021-07-02,790.4000,2021-06-28,1978.0000
2021-02-25,85.5000,2021-02-26,66.1500,2021-07-05,831.0000,2021-06-29,1943.5000
2021-02-26,85.1000,2021-03-01,65.4000,2021-07-06,820.6000,2021-06-30,1944.5000
2021-03-01,85.6000,2021-03-02,66.1500,2021-07-07,829.4000,2021-07-01,1910.0000
2021-03-02,87.5000,2021-03-03,65.7000,2021-07-08,824.6000,2021-07-02,1942.5000
2021-03-03,87.9500,2021-03-04,65.2000,2021-07-09,844.0000,2021-07-05,1970.5000
2021-03-04,87.5000,2021-03-05,65.2500,2021-07-12,855.6000,2021-07-06,1949.0000
2021-03-05,87.7500,2021-03-08,65.5000,2021-07-13,882.8000,2021-07-07,1932.0000
2021-03-08,88.0000,2021-03-09,66.0000,2021-07-14,896.4000,2021-07-08,1830.5000
2021-03-09,88.5000,2021-03-10,65.8000,2021-07-15,873.0000,2021-07-09,1856.5000
2021-03-10,89.0000,2021-03-11,65.8000,2021-07-16,882.6000,2021-07-12,1882.5000
2021-03-11,89.0000,2021-03-12,66.0500,2021-07-19,913.8000,2021-07-13,1959.5000
2021-03-12,90.0000,2021-03-15,66.3500,2021-07-20,918.4000,2021-07-14,1996.5000
2021-03-15,90.5000,2021-03-16,66.3000,2021-07-21,911.6000,2021-07-15,1986.5000
2021-03-16,90.5000,2021-03-17,67.5500,2021-07-22,908.8000,2021-07-16,2035.0000
2021-03-17,90.7500,2021-03-18,68.1000,2021-07-23,911.2000,2021-07-19,2040.5000
2021-03-18,91.0000,2021-03-19,68.4500,2021-07-26,897.0000,2021-07-20,2074.0000
2021-03-19,92.7500,2021-03-22,68.5000,2021-07-27,892.4000,2021-07-21,2090.0000
2021-03-22,94.0000,2021-03-23,68.5000,2021-07-28,902.4000,2021-07-22,2085.0000
2021-03-23,94.5000,2021-03-24,68.5000,2021-07-29,918.6000,2021-07-23,2115.5000
2021-03-24,94.5000,2021-03-25,68.5000,2021-07-30,927.2000,2021-07-26,2153.5000
2021-03-25,94.5000,2021-03-26,68.5000,2021-08-02,865.2000,2021-07-27,2135.0000
2021-03-26,93.9500,2021-03-29,70.6000,2021-08-03,867.8000,2021-07-28,2199.0000
2021-03-29,93.0000,2021-03-30,70.0000,2021-08-04,889.8000,2021-07-29,2256.0000
2021-03-30,93.8500,2021-03-31,70.0500,2021-08-05,883.2000,2021-07-30,2317.0000
2021-03-31,96.2500,2021-04-01,70.2000,2021-08-06,882.6000,2021-08-02,2289.0000
2021-04-01,96.5000,2021-04-05,70.2000,2021-08-09,879.6000,2021-08-03,2222.0000
2021-04-05,96.5000,2021-04-06,70.3000,2021-08-10,882.4000,2021-08-04,2313.5000
2021-04-06,94.8500,2021-04-07,68.8000,2021-08-11,896.0000,2021-08-05,2325.5000
2021-04-07,94.7000,2021-04-08,67.2000,2021-08-12,880.0000,2021-08-06,2374.5000
